model,vintage,sample,n_quarters,rmse,mae,bias,dm_stat,dm_pval,dm_mean_diff
lasso,2,full,85,8.929722535982242,2.7659500807424684,0.5911350762731955,-0.35735015984309226,0.7208296833877441,-13.086742900499182
lasso,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993,0.9933087537734522,0.3205595128777744,1.3991852805687102
lasso,2,ex_covid,79,2.0907981107021962,1.6252497899056333,-0.5170444238242664,1.2664944541698195,0.20533611369237337,5.901568332932483
lasso_covid,2,full,85,8.909134805137219,2.6530460010866737,0.5289015495283502,-0.34693663006370223,0.7286389269563123,-12.719481306977464
lasso_covid,2,pre_covid,60,2.1651172545526487,1.6739827504569997,-0.5971228384065993,0.9933087537734522,0.3205595128777744,1.3991852805687102
lasso_covid,2,ex_covid,79,2.030411608689326,1.5474450752210993,-0.5304248310517004,1.303009447119403,0.19257153632369384,6.150433771947981
lasso,3,full,85,4.381266335129734,2.2565332342645488,-0.74099105740721,1.1910342688768072,0.2336401321069952,47.4577069697888
lasso,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013,1.3365433794341743,0.18137173160779063,1.785542726840724
lasso,3,ex_covid,79,2.1605358032886235,1.647371140461338,-0.6076689682728393,1.336407416818342,0.18141614341523093,5.605090115356341
lasso_covid,3,full,85,4.346439515443924,2.168437260574242,-0.8163156076259516,1.1917862999328863,0.23334504899701114,47.76166520771751
lasso_covid,3,pre_covid,60,2.073975718201538,1.5305324290545932,-0.6558821701453013,1.3365433794341743,0.18137173160779063,1.785542726840724
lasso_covid,3,ex_covid,79,2.138106577858561,1.5910037885482105,-0.6381974689564374,1.3456244220064764,0.17842367144116844,5.70150533436631
midas_BAA10Y,1,full,85,6.830433294079718,2.9220397276271797,0.2821248049996825,1.3268653782489668,0.18455321887105425,19.99838268425722
midas_BAA10Y,1,pre_covid,60,2.6663363350305223,2.020847883792602,-0.237492344545964,-0.8496758581524063,0.3955053241398996,-1.0224314449736884
midas_BAA10Y,1,ex_covid,79,2.4768270827485948,1.8878820675502501,-0.19281135431838226,0.87750931463359,0.3802100617700247,4.138332674811446
midas_BAA10Y,2,full,85,7.244106366033324,2.7811180854296005,-0.02613387940336476,1.4907675369835858,0.13602253754521643,14.176124626725398
midas_BAA10Y,2,pre_covid,60,2.144368660674937,1.565335521933687,-0.55475828147106,1.0492870391219042,0.29404602939512625,1.488601053645487
midas_BAA10Y,2,ex_covid,79,2.1176154555398674,1.6100024027129833,-0.41333448844967646,1.2805336247798724,0.20035752690471686,5.788709855107035
midas_BAA10Y,3,full,85,7.3844211765453664,2.8909107187971133,-0.02941677225697355,1.4277946218281659,0.15335098130160577,12.123525556518286
midas_BAA10Y,3,pre_covid,60,2.2449277490648574,1.6654984160973154,-0.5362147217383816,0.811896139759687,0.41685122966901,1.0472174080089034
midas_BAA10Y,3,ex_covid,79,2.2334381211183008,1.710470038174144,-0.41548794160201824,1.197937972296966,0.23094116554761113,5.284759231783911
